city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Ijevan,Armenia,Apartment Kamar N26,2018.0,100.0,Identity not verified,9.0,regular host,Entire residential home,3.0,1.0,1.0,2.0,0.0,40.0,,,,,,
Ijevan,Armenia,6 bedroom apartment,2018.0,100.0,Identity not verified,9.0,regular host,Room in serviced apartment,12.0,7.5,6.0,12.0,4.0,135.0,4.3,4.0,4.3,4.0,4.3,4.7
Ijevan,Armenia,Enjoy warm Armenian Hospitality,2014.0,100.0,Identity not verified,12.0,regular host,Private room in residential home,14.0,8.0,5.0,14.0,4.92,13.0,4.9,4.8,4.8,4.7,4.9,4.7
Getahovit,Armenia,The best outdoor adventures,2018.0,75.0,Identity not verified,4.0,regular host,Treehouse,1.0,1.0,1.0,1.0,0.0,20.0,,,,,,
Ijevan,Armenia,Guest House LEADER,2019.0,100.0,Identity verified,2.0,regular host,Room in hotel,2.0,1.5,1.0,2.0,0.0,21.0,,,,,,
Ijevan,Armenia,Vila da luxe,2016.0,75.0,Identity verified,19.0,regular host,Private room in residential home,10.0,5.5,5.0,6.0,0.0,30.0,,,,,,
Gandzakar,Armenia,Tavush Province Wonderful Tours,2017.0,,Identity verified,0.0,regular host,Private room in residential home,4.0,1.0,2.0,1.0,0.0,60.0,,,,,,
Ijevan,Armenia,Kamar Hotel Ijevan N24,2018.0,100.0,Identity not verified,9.0,regular host,Entire residential home,2.0,1.0,1.0,2.0,5.0,32.0,5.0,5.0,5.0,5.0,5.0,5.0
Ijevan,Armenia,Kamar Hotel Ijevan N24,2018.0,100.0,Identity not verified,9.0,regular host,Entire residential home,2.0,1.0,1.0,2.0,5.0,32.0,5.0,5.0,5.0,5.0,5.0,5.0
Ijevan,Armenia,Enjoy warm Armenian hospitality,2014.0,100.0,Identity not verified,12.0,regular host,Private room in guesthouse,4.0,5.0,6.0,4.0,0.0,25.0,,,,,,
Ijevan,Armenia,Qarvansara Resort,2016.0,0.0,Identity verified,0.0,regular host,Room in hotel,16.0,11.0,11.0,20.0,0.0,30.0,,,,,,
